Date,GLD,VNQ,XLB,XLE,XLF,XLK,XLP,XLU,XLV,XLY
2013-06-26,118.27999877929688,41.10979080200195,14.99042797088623,24.62211799621582,12.458111763000488,13.040328025817871,28.503341674804688,12.428311347961426,39.01678466796875,24.153026580810547
2013-06-27,115.94000244140625,41.93455123901367,14.982658386230469,24.669170379638672,12.619318008422852,13.10430908203125,28.6324405670166,12.454856872558594,39.15549850463867,24.3610897064209
2013-06-28,119.11000061035156,41.67375564575195,14.901062965393066,24.565645217895508,12.541939735412598,13.048852920532227,28.453126907348633,12.484716415405273,38.85357666015625,24.447778701782227
2013-07-01,121.12999725341797,41.58281326293945,14.986536979675293,24.741342544555664,12.580628395080566,13.117110252380371,28.661142349243164,12.32878589630127,38.95966339111328,24.616838455200195
2013-07-02,120.05000305175781,42.21956253051758,14.939922332763672,24.794675827026367,12.593523979187012,13.138437271118164,28.69698715209961,12.32546329498291,38.878047943115234,24.660181045532227
2013-07-03,120.73999786376953,41.940608978271484,14.943802833557129,24.778989791870117,12.554834365844727,13.215219497680664,28.639617919921875,12.279012680053711,38.82091522216797,24.772890090942383
2013-07-05,118.08999633789062,41.74047088623047,15.04482650756836,25.086448669433594,12.780525207519531,13.30053424835205,28.711339950561523,12.24251651763916,39.351375579833984,25.041641235351562
2013-07-08,119.51000213623047,41.782928466796875,15.130308151245117,25.249595642089844,12.877249717712402,13.291999816894531,28.998239517211914,12.418362617492676,39.571712493896484,25.275711059570312
2013-07-09,120.62000274658203,42.37723159790039,15.363443374633789,25.50685691833496,12.986870765686035,13.34319019317627,29.213417053222656,12.507942199707031,39.685970306396484,25.375415802001953
2013-07-10,120.94999694824219,42.395416259765625,15.359552383422852,25.349994659423828,12.909493446350098,13.385846138000488,29.249282836914062,12.57761287689209,39.947105407714844,25.401424407958984
2013-07-11,124.23999786376953,43.4202880859375,15.608226776123047,25.553918838500977,13.032007217407227,13.611930847167969,29.70832061767578,12.779993057250977,40.46125030517578,25.765535354614258
2013-07-12,124.12999725341797,43.15345764160156,15.553834915161133,25.698240280151367,13.122282028198242,13.620465278625488,29.715490341186523,12.819809913635254,40.706050872802734,25.886911392211914
2013-07-15,124.18000030517578,43.335384368896484,15.592687606811523,25.676273345947266,13.180316925048828,13.658853530883789,29.758529663085938,13.028829574584961,40.74687194824219,25.82188606262207
2013-07-16,124.88999938964844,43.36570739746094,15.47612476348877,25.5194034576416,13.128735542297363,13.667386054992676,29.650922775268555,12.95915699005127,40.51020431518555,25.683176040649414
2013-07-17,123.31999969482422,43.52336502075195,15.61988639831543,25.632341384887695,13.186769485473633,13.680182456970215,29.70832061767578,12.952518463134766,40.61629104614258,25.696184158325195
2013-07-18,124.01000213623047,43.89329147338867,15.627655982971191,25.90530014038086,13.360870361328125,13.64605712890625,29.808731079101562,13.06532096862793,40.73054885864258,25.843563079833984
2013-07-19,125.11000061035156,43.86300277709961,15.728687286376953,26.26609992980957,13.367318153381348,13.415709495544434,29.980850219726562,13.068644523620605,41.2691650390625,25.82188606262207
2013-07-22,128.83999633789062,43.996402740478516,15.744223594665527,26.181398391723633,13.457597732543945,13.454100608825684,29.91632080078125,13.05537223815918,41.473167419433594,25.804548263549805
2013-07-23,129.7100067138672,43.9478874206543,15.790851593017578,26.225311279296875,13.406013488769531,13.398643493652344,29.858943939208984,13.088545799255371,41.3262825012207,25.76987075805664
2013-07-24,127.4800033569336,43.09282302856445,15.643200874328613,25.93354034423828,13.309286117553711,13.488224983215332,29.665287017822266,12.889480590820312,41.2609977722168,25.683176040649414
2013-07-25,128.6699981689453,43.159523010253906,15.790851593017578,26.106094360351562,13.322182655334473,13.496757507324219,29.823070526123047,13.008925437927246,41.46501159667969,25.717863082885742
2013-07-26,128.77999877929688,43.1959228515625,15.732568740844727,26.040212631225586,13.309286117553711,13.535149574279785,29.787216186523438,13.05537223815918,41.73432540893555,25.800212860107422
2013-07-29,128.47000122070312,42.87451171875,15.821937561035156,25.823728561401367,13.212560653686523,13.513822555541992,29.72265625,13.078595161437988,41.61191177368164,25.66584014892578
2013-07-30,128.1199951171875,42.74714660644531,15.783077239990234,25.773536682128906,13.206113815307617,13.582069396972656,29.6939697265625,13.121722221374512,41.62007141113281,25.60081672668457
2013-07-31,127.95999908447266,42.04975128173828,15.728687286376953,25.858240127563477,13.212560653686523,13.535149574279785,29.686800003051758,13.025508880615234,41.63640213012695,25.735197067260742
2013-08-01,126.61000061035156,41.88603210449219,15.845250129699707,26.278648376464844,13.425358772277832,13.680182456970215,29.930675506591797,13.13499641418457,41.89753723144531,26.133989334106445
2013-08-02,126.36000061035156,41.67982482910156,15.934615135192871,26.162572860717773,13.41890811920166,13.739906311035156,29.94499969482422,13.118412971496582,41.91386032104492,26.320377349853516
2013-08-05,125.69999694824219,41.64951705932617,15.891870498657227,26.099828720092773,13.393115043640137,13.769760131835938,29.966520309448242,13.032140731811523,41.85672378540039,26.2640323638916
2013-08-06,123.97000122070312,41.503971099853516,15.744223594665527,25.939823150634766,13.270593643188477,13.697247505187988,29.930675506591797,12.965787887573242,41.660865783691406,26.155654907226562
2013-08-07,124.1500015258789,41.39480209350586,15.751996994018555,25.84882926940918,13.180316925048828,13.663119316101074,29.787216186523438,13.025508880615234,41.69351577758789,25.925920486450195
2013-08-08,126.86000061035156,41.41300964355469,15.985123634338379,25.990018844604492,13.212560653686523,13.705778121948242,29.94499969482422,13.075275421142578,41.69351577758789,26.099302291870117
2013-08-09,126.86000061035156,41.77687454223633,16.07837677001953,25.911579132080078,13.167427062988281,13.637527465820312,29.815898895263672,12.985696792602539,41.5466194152832,26.042957305908203
2013-08-12,129.1300048828125,41.47972106933594,16.05507469177246,25.801761627197266,13.115833282470703,13.727104187011719,29.729825973510742,12.916023254394531,41.37525939941406,26.008277893066406
2013-08-13,127.73999786376953,40.90967559814453,16.11334991455078,25.84882926940918,13.180316925048828,13.820955276489258,29.751346588134766,12.846349716186523,41.53030014038086,26.008277893066406
2013-08-14,129.0,40.75200271606445,16.07837677001953,25.729612350463867,13.128735542297363,13.808156967163086,29.543363571166992,12.763405799865723,41.203880310058594,25.722187042236328
2013-08-15,131.69000244140625,40.0060920715332,15.961812973022461,25.58841896057129,12.935287475585938,13.586338996887207,29.069969177246094,12.600838661193848,40.51020431518555,25.271377563476562
2013-08-16,132.5800018310547,39.023685455322266,15.837477684020996,25.48489761352539,12.909493446350098,13.573538780212402,28.8978271484375,12.454856872558594,40.322505950927734,25.180349349975586
2013-08-19,132.00999450683594,38.508216857910156,15.713138580322266,25.080171585083008,12.741835594177246,13.53088092803955,28.76872444152832,12.3486909866333,40.39594650268555,25.071983337402344
2013-08-20,132.4499969482422,39.38147735595703,15.802504539489746,25.233901977539062,12.864354133605957,13.552214622497559,28.775894165039062,12.46480655670166,40.51020431518555,25.327730178833008
2013-08-21,132.07000732421875,39.290504455566406,15.682053565979004,25.095857620239258,12.774079322814941,13.522351264953613,28.553550720214844,12.32214641571045,40.2653694152832,25.110994338989258
2013-08-22,132.80999755859375,39.52700424194336,15.868560791015625,25.469202041625977,12.92238998413086,13.582069396972656,28.675477981567383,12.391819953918457,40.526519775390625,25.362407684326172
2013-08-23,134.89999389648438,39.93938064575195,15.996784210205078,25.651180267333984,12.935287475585938,13.680182456970215,28.840452194213867,12.494668006896973,40.632625579833984,25.366750717163086
2013-08-26,135.4499969482422,39.82418441772461,15.996784210205078,25.607255935668945,12.851455688476562,13.616199493408203,28.503341674804688,12.401769638061523,40.68973922729492,25.314725875854492
2013-08-27,136.75,39.63010787963867,15.717020988464355,25.447248458862305,12.541939735412598,13.377320289611816,28.352725982666016,12.395133972167969,40.028717041015625,24.90292739868164
2013-08-28,136.7100067138672,39.38753128051758,15.685938835144043,25.870790481567383,12.56128215789795,13.385846138000488,28.137542724609375,12.438270568847656,40.20008850097656,25.037303924560547
2013-08-29,135.8699951171875,39.448177337646484,15.7364501953125,25.60098648071289,12.593523979187012,13.458368301391602,28.252309799194336,12.365276336669922,40.322505950927734,25.15867805480957
2013-08-30,134.6199951171875,39.11464309692383,15.709258079528809,25.591564178466797,12.535490036010742,13.394380569458008,28.338376998901367,12.375229835510254,40.16744613647461,25.00262451171875
2013-09-03,136.4199981689453,38.77504348754883,15.802504539489746,25.779809951782227,12.638662338256836,13.40717887878418,28.316856384277344,12.232571601867676,40.42859649658203,25.180349349975586
